epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,learning_rate,is_best
1,1.444758974413463,0.9304338764661586,0.6122929024340356,0.8739070409572021,0.7369173578517201,0.7613143656439328,0.001,True
2,0.791451341926893,0.6136951428978222,0.8805481693597873,0.9236079153244363,0.8163300912509269,0.8247879520739989,0.001,True
3,0.6341095364735058,0.5495154875739072,0.911484966250767,0.9332719742291763,0.8511901796422754,0.847238967743496,0.001,True
4,0.5892187509343628,0.528763967563192,0.9221722233585601,0.9415554532903819,0.8577585964110154,0.8641640677683362,0.001,True
5,0.5692115216246411,0.517432281678029,0.9246778482307221,0.9406350667280258,0.8763097309940262,0.8698198068832047,0.001,True
6,0.5518624035888812,0.510827686070189,0.9309674780118634,0.9415554532903819,0.8746259098577625,0.8778686281588578,0.001,True
7,0.5375501328656755,0.5066664230971637,0.9352116997340969,0.9452369995398067,0.8870053172765945,0.8818746435672669,0.001,True
8,0.5312908816908152,0.5036838846002588,0.9375127838003682,0.94201564657156,0.876004731646039,0.8715441145607772,0.001,True
9,0.5231231738999714,0.5026255536617028,0.9405808958887298,0.9461573861021629,0.8821677981368244,0.8839786754900835,0.001,True
10,0.517519290570614,0.5002009653573315,0.9437001431785641,0.9438564196962724,0.8759042040953666,0.8840329021713,0.001,True
11,0.5124263076919747,0.49810614311031304,0.9449273880139087,0.9429360331339163,0.8807040155787373,0.8803503292902413,0.001,True
12,0.5056451661354147,0.4969720413648638,0.9469727960728165,0.9392544868844915,0.8724644419960326,0.8696221376534687,0.001,True
13,0.5016823337716446,0.49574590469909824,0.9481489057066885,0.9433962264150944,0.8807614598232058,0.8864790204734271,0.001,True
14,0.497424813447298,0.4961501479258583,0.94988750255676,0.9429360331339163,0.8781025519846141,0.8943077825863686,0.001,False
15,0.4949599786218287,0.4949803454119985,0.9539271834731029,0.9438564196962724,0.8797179141980032,0.9019162034280129,0.001,True
16,0.49059533399291066,0.4953324829879248,0.9534158314583759,0.9438564196962724,0.8814960389271517,0.887561973502781,0.001,False
17,0.48710345427032675,0.49244437122257195,0.9558191859275925,0.9447768062586286,0.8831269816941881,0.8954289233795996,0.001,True
18,0.4878500468113057,0.4930729832015057,0.9554612395172837,0.9443166129774505,0.8823373833123432,0.8950393341666109,0.001,False
19,0.4834579973650944,0.49566402004108523,0.9580179995909184,0.94201564657156,0.8786046530334622,0.8945337005354954,0.001,False
20,0.4775736194906315,0.49270727088031163,0.9611883820822255,0.9461573861021629,0.8826517984687106,0.8960717095483665,0.001,False
21,0.47482189290434285,0.49266333793694117,0.9616997340969523,0.9429360331339163,0.8851658763264536,0.8949268470375681,0.001,False
22,0.47636725000867963,0.4917511510454012,0.9602168132542442,0.9438564196962724,0.8847211603095536,0.8950126399582725,0.001,True
23,0.47025545459872353,0.4929892385658777,0.964256494170587,0.9447768062586286,0.8861903185174456,0.9054622436097268,0.001,False
24,0.46974651008009255,0.49208495532429497,0.9630292493352424,0.9470777726645191,0.889357683560499,0.8998563857075241,0.001,False
25,0.4684573301973458,0.49514319992153205,0.9652280629985682,0.9433962264150944,0.8796999086777862,0.8796410240101824,0.001,False
26,0.46441140876978937,0.4951797864347134,0.966608713438331,0.9438564196962724,0.8777513864493616,0.8925448930359627,0.001,False
27,0.46095375643841546,0.49484258744774795,0.9677848230722029,0.9438564196962724,0.8841026285650687,0.8838542226756448,0.001,False
28,0.4608558761876013,0.49367107698514723,0.9683473102884025,0.9452369995398067,0.8592059501074726,0.8839361738633619,0.001,False
29,0.45946632991004854,0.4947644099901746,0.9693188791163837,0.9438564196962724,0.8849142948371452,0.8939458074584558,0.001,False
30,0.46116806911432223,0.4938022477446862,0.9671712006545305,0.9447768062586286,0.8879989696676919,0.88369339155468,0.001,False
31,0.45919869335108826,0.4958707826015755,0.9679382286766209,0.9438564196962724,0.8848625488337986,0.9044125594258521,0.001,False
32,0.45762297587298156,0.49244444559808703,0.9685007158928206,0.9456971928209849,0.8860726337545392,0.8969806662862021,0.001,False
33,0.45358060414036694,0.493709488653994,0.9701881775414195,0.9438564196962724,0.8812601924007563,0.8807725768755083,0.001,False
34,0.4509876203283402,0.4941252522132828,0.9722335856003272,0.94201564657156,0.8818470860373638,0.8701443551092901,0.001,False
35,0.4498652793995855,0.49457819879850484,0.973102884025363,0.9447768062586286,0.8663564920036408,0.8795752095581897,0.001,False
36,0.44922091467025993,0.4943207491941843,0.9725403968091634,0.9443166129774505,0.8838608076868969,0.8878614600007856,0.001,False
37,0.4490228964644089,0.4970217467012682,0.9723358560032727,0.9410952600092038,0.8807674701592074,0.8846578132708983,0.001,False
38,0.44699998949417236,0.4950375605221997,0.9733585600327266,0.9456971928209849,0.8869100109664613,0.8975701614020087,0.001,False
39,0.44473041679064756,0.4945808603118435,0.9751482920842708,0.9461573861021629,0.8859115430941117,0.9060454889604621,0.001,False
40,0.44227796021256865,0.4971539235531982,0.976784618531397,0.9447768062586286,0.8857236298070592,0.8963557059085072,0.001,False
41,0.44324220274703635,0.4980058933094356,0.9759153201063612,0.9456971928209849,0.8859608641308891,0.8820467518074893,0.001,False
42,0.4416994945869828,0.49709903990898713,0.9766823481284517,0.9452369995398067,0.8851712657490441,0.9044515254313886,0.001,False
