epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,learning_rate,is_best
1,1.1384869471451597,0.7808300690145107,0.8451652056641942,0.9270542541570579,0.7391398371712845,0.6944701671357614,0.001,True
2,0.8053658325802372,0.74120998585133,0.9224140256237356,0.9349435611117854,0.7953239245871848,0.7568273579298151,0.001,True
3,0.7765838934196786,0.7313424267371255,0.9283749157113959,0.9355504308775336,0.8060418251377083,0.7561470570561061,0.001,True
4,0.7623326792688042,0.7220850061018905,0.9319487525286582,0.9378565359873771,0.7946924163372565,0.7613636713869254,0.001,True
5,0.7526827973316267,0.7186278598895133,0.9341604855023601,0.9387061536594247,0.820312843345066,0.804955713152138,0.001,True
6,0.7473312765685434,0.7153962260528826,0.9347673634524613,0.9376137880810778,0.8558442715665684,0.8080589711899354,0.001,True
7,0.7425856546863703,0.7127151097584615,0.935738368172623,0.9388275276125744,0.8767048686788752,0.8312225108177981,0.001,True
8,0.7375617579391336,0.7105218951657843,0.9376938637896156,0.9405267629566695,0.8783078821065199,0.8270148173089339,0.001,True
9,0.7368287607454723,0.7093367966897772,0.9375455158462576,0.9388275276125744,0.8594638415108224,0.814424983237609,0.001,True
10,0.7328231645836191,0.7091235654101469,0.9380984490896831,0.9388275276125744,0.8712917144473648,0.8225350936183545,0.001,True
11,0.7315733112005953,0.7091428668685062,0.9387592717464599,0.9413763806287171,0.8704485422063276,0.8428836172260468,0.001,False
12,0.7285040734719362,0.7072219008061909,0.9392582602832097,0.9414977545818667,0.8497814291377961,0.8167196533392567,0.001,True
13,0.726964740528099,0.7069854300307742,0.9402832097100472,0.9412550066755674,0.8741383959714347,0.8335487347287832,0.001,True
14,0.7246888551130057,0.706085374414928,0.9416318273769386,0.9412550066755674,0.8712084551131235,0.8339057732025977,0.001,True
15,0.7245917990202849,0.7054140364925525,0.9405394470667566,0.9425901201602136,0.8786815875619959,0.8360825055017295,0.001,True
16,0.7235422902354821,0.706199753934108,0.9411463250168577,0.9384634057531254,0.8649535596638188,0.8208779732533981,0.001,False
17,0.7217983179709755,0.7050134941912027,0.9418206338503035,0.9425901201602136,0.8723806065469454,0.8353652397089424,0.001,True
18,0.7196794057599774,0.7038415329507549,0.9420903573836817,0.9431969899259619,0.8734257288491128,0.8316758518576628,0.001,True
19,0.7192249584230151,0.7038109367558469,0.9418071476736345,0.9413763806287171,0.8574397822401828,0.8097977766261066,0.001,True
20,0.7194817309530699,0.7040484585595921,0.9415509103169252,0.9422259983007647,0.8797774335591876,0.82937748690109,0.001,False
21,0.7180513119585034,0.7035525065050613,0.9422252191503708,0.9416191285350164,0.8780055008911026,0.8209325057913439,0.001,True
22,0.7162810262135373,0.7026026364393728,0.942845583277141,0.9402840150503702,0.8805838424789343,0.8150575030293538,0.001,True
23,0.7152227684089805,0.7009964825994457,0.9435198921105866,0.9419832503944654,0.8761384263008737,0.8208581905587831,0.001,True
24,0.7146061315057411,0.7025392981014837,0.9436547538772758,0.941740502488166,0.8758227759029669,0.8237965206572924,0.001,False
25,0.7131874908600316,0.7032638692294442,0.9437626432906271,0.9394343973783226,0.8817052194321312,0.817216820833535,0.001,False
26,0.7122376370671144,0.7016426240490657,0.9446797033041133,0.9411336327224178,0.8762656475339441,0.8141293664586823,0.001,False
27,0.712949744656692,0.7033835954784204,0.9437356709372893,0.9430756159728122,0.8774547045173245,0.8289812543007359,0.001,False
28,0.7124090678902469,0.7015028518877471,0.943627781523938,0.9402840150503702,0.8791835422547187,0.820969705570602,0.001,False
29,0.7117226670452331,0.7008049107969553,0.9441672285906946,0.9419832503944654,0.8827240192439958,0.8262774670016608,0.001,True
30,0.7102212651870737,0.7030321452814133,0.9445853000674309,0.9400412671440709,0.8506161202832743,0.8046185183885673,0.001,False
31,0.709756070527368,0.7019783754432096,0.9450168577208361,0.9418618764413157,0.8850393875120877,0.8289188466406441,0.001,False
32,0.708273793491896,0.7001774766619077,0.9459474039109912,0.9418618764413157,0.8780953607937044,0.8194354255643046,0.001,True
33,0.7081041498611846,0.7009014285642381,0.9453944706675658,0.9411336327224178,0.8681280610804378,0.822692369723285,0.001,False
34,0.7070789487668975,0.7021063938999165,0.9465003371544167,0.9400412671440709,0.8663891558441037,0.8129083872168658,0.001,False
35,0.7077435872045146,0.7006390871664812,0.9453809844908968,0.941740502488166,0.8763933254110547,0.8218570862813113,0.001,False
36,0.7063660411776841,0.6997682436647773,0.9458395144976399,0.9419832503944654,0.863348749703506,0.8215516861202053,0.001,True
37,0.7065521262388171,0.70082265845432,0.946756574511126,0.9422259983007647,0.8748175398049156,0.8162779907566384,0.001,False
38,0.7054480857054929,0.7003971664907573,0.9461631827376938,0.9402840150503702,0.8821706393585331,0.8199448834895307,0.001,False
39,0.7058255543904938,0.70053995679284,0.9463924477410655,0.9413763806287171,0.8719330691109394,0.8256210373195103,0.001,False
40,0.7052493866054255,0.6997910383503216,0.9463654753877275,0.9416191285350164,0.8805590147500836,0.8281660868607745,0.001,False
41,0.7037796919617553,0.7018805923197422,0.9470262980445043,0.9438038596917102,0.8622291088032583,0.8148873972608949,0.001,False
42,0.7026764607268736,0.7004176371956149,0.9475657451112609,0.9427114941133633,0.8738335783423942,0.8338143674514612,0.001,False
43,0.7032372260559916,0.7007505597456493,0.9467161159811194,0.9434397378322612,0.8677206673852005,0.8312190783479294,0.001,False
44,0.7026385848022199,0.7000579446651849,0.9468779501011463,0.9430756159728122,0.8721987691757053,0.8301294337617798,0.001,False
45,0.701694181865723,0.6991186209103482,0.9481051921780176,0.9400412671440709,0.8836918771330509,0.8289195193394501,0.001,True
46,0.7021481474605028,0.6995347214636402,0.9471881321645313,0.942104624347615,0.8728453668239684,0.8233579859212277,0.001,False
47,0.7020062623583458,0.6994974863067648,0.9474308833445718,0.9441679815511591,0.8681607833827015,0.8275414450462154,0.001,False
48,0.70105024364456,0.6996647410708762,0.9472285906945381,0.9400412671440709,0.8821879112883518,0.8265194549260173,0.001,False
49,0.7001601541066443,0.6995931441148141,0.9483749157113959,0.9418618764413157,0.8728230424476677,0.8354711732756485,0.001,False
50,0.7006993778894981,0.6994896284771973,0.9483479433580579,0.9406481369098192,0.8717096688914139,0.8152270156100531,0.001,False
51,0.6997514781707538,0.6998134608450467,0.9479433580579906,0.9441679815511591,0.8623969134870659,0.8295807835787248,0.001,False
52,0.7008485620759745,0.6990990843033816,0.9473634524612272,0.942468746207064,0.8734822832519583,0.8231686112948453,0.001,True
53,0.699881223756079,0.6988809283518476,0.9483884018880647,0.9407695108629688,0.8833200705392219,0.8200899066336611,0.001,True
54,0.6993735556319527,0.6999253116630353,0.948024275118004,0.9414977545818667,0.8796046506806722,0.8303895500712787,0.001,False
