epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,learning_rate,is_best
1,0.9989996264528509,0.7800857546732236,0.8993616190427681,0.9443807777523111,0.5809253278349735,0.5835023395767193,0.001,True
2,0.8063234299961202,0.7457803025385195,0.931806991629739,0.9480479792191917,0.6307160456013787,0.6097432748276783,0.001,True
3,0.7778293208300022,0.7194978477792932,0.9374098032224656,0.956069982427993,0.7253336582711456,0.7194300643298481,0.001,True
4,0.7578401051688254,0.7025749385243059,0.9418071614119086,0.9518679807471923,0.7766547643689173,0.7279418426224166,0.001,True
5,0.7442403578851747,0.6867667612103056,0.9449141751133296,0.9579799831919933,0.8201717536672066,0.7827947467967022,0.001,True
6,0.7328961046343677,0.6782303396343448,0.9474184621131089,0.9627931851172741,0.8346439536619421,0.8195349900461415,0.001,True
7,0.7232142729488734,0.669307122452573,0.949786923377307,0.9660783864313546,0.8373034878243227,0.8165194050674796,0.001,True
8,0.7165893861007953,0.6622404002534923,0.9515611470483369,0.9653907861563145,0.8699254265350689,0.8228860511796736,0.001,True
9,0.7104597856792849,0.6582502862450655,0.9528345133194112,0.9640919856367942,0.8758828958714069,0.8297042920591238,0.001,True
10,0.7067928552348257,0.6584319559472596,0.9531655885498905,0.9610359844143938,0.8827719991446027,0.8067115378524828,0.001,False
11,0.699176886508387,0.6506989900373102,0.9552878656683476,0.9698219879287951,0.8659252671881905,0.8395195718463202,0.001,True
12,0.695905884204104,0.6446433791694216,0.9558821032615155,0.9674535869814348,0.8842348804206441,0.8136904448273348,0.001,True
13,0.6941084036677476,0.6450017765022069,0.9559330379123584,0.9673771869508748,0.8850133252031166,0.836207780243258,0.001,False
14,0.6922302375009958,0.6462305219190372,0.9564848299631573,0.962334784933914,0.8999053489846179,0.8218318128228052,0.001,False
15,0.6877294600917665,0.6441203277828186,0.9581062496816585,0.9646267858507144,0.8925973702956967,0.8091771171856426,0.001,True
16,0.6873499305424872,0.6403724605527661,0.9580977605731846,0.9702039880815952,0.9269480076488237,0.8856984248742069,0.001,True
17,0.6838221562556592,0.6389960086284652,0.9585391942138236,0.9674535869814348,0.88859216774108,0.8397181864515919,0.001,True
18,0.6834405146927686,0.6394387866525565,0.9581402061155537,0.9723431889372756,0.8710019701051457,0.8437833336340518,0.001,False
19,0.678643301864292,0.6349779820003214,0.9603898198611182,0.969134387653755,0.8948847419909275,0.837571950662706,0.001,True
20,0.6799872294029122,0.6390317355815043,0.9594305506035756,0.9700511880204752,0.8409999968590637,0.8087148615841809,0.001,False
21,0.6799662473262511,0.6320994098116001,0.9588278239019338,0.9711207884483154,0.9349867993490463,0.9058012052049413,0.001,True
22,0.6779363707886152,0.6303674695926952,0.9594135723866279,0.9731835892734357,0.8954113689179519,0.8392901701488286,0.001,True
23,0.6746229581244804,0.6292727752678698,0.9607548515254928,0.968905187562075,0.9249395917476602,0.8570841824627634,0.001,True
24,0.6778192495479635,0.6299047965090473,0.9591588991324131,0.9738711895484758,0.9728183770698284,0.9328751289528454,0.001,False
25,0.6730745677747707,0.6348600815265827,0.9609585901288646,0.9710443884177554,0.9520465182101908,0.9268735184898101,0.001,False
26,0.6730775472723115,0.6276883934760751,0.9610944158644459,0.9741003896401559,0.9693435697287662,0.9214466769346,0.001,True
27,0.6732468720285854,0.6271429838630749,0.9604747109458565,0.9728779891511956,0.9794605724223883,0.9275064040188962,0.001,True
28,0.6715743057646734,0.6273530348344176,0.9615273603966111,0.9726487890595156,0.9866414035472229,0.9309234407070478,0.001,False
29,0.6695301157260083,0.6248768125819745,0.9608397426102311,0.9744823897929559,0.990478902158403,0.9275320446638268,0.001,True
30,0.6681872094842716,0.6292090880578466,0.9626649009321041,0.9692871877148751,0.9766088726805205,0.9019318990626065,0.001,False
31,0.66989402586087,0.622644886735362,0.9609331228034432,0.9758575903430361,0.9809991922226803,0.9329685966770506,0.001,True
